Time_sample,Sway_M1_sight_T1,Sway_M2_sight_T1,Sway_M3_sight_T1,Sway_M4_sight_T1,Sway_M1_sight_T2,Sway_M2_sight_T2,Sway_M3_sight_T2,Sway_M4_sight_T2,Sway_M1_sight_T3,Sway_M2_sight_T3,Sway_M3_sight_T3,Sway_M4_sight_T3,Sway_M1_nosight_T1,Sway_M2_nosight_T1,Sway_M3_nosight_T1,Sway_M4_nosight_T1,Sway_M1_nosight_T2,Sway_M2_nosight_T2,Sway_M3_nosight_T2,Sway_M4_nosight_T2,Sway_M1_nosight_T3,Sway_M2_nosight_T3,Sway_M3_nosight_T3,Sway_M4_nosight_T3
134,-8.6,7.1,-5.4,-5.1,-8.2,-9,5.5,-6,-8,-8.4,-8.5,-8.8,-8.4,6.4,-6.8,-3.8,-8.2,6.5,-7.8,-3.5,-8.5,6.8,-7.8,-3.3
135,-5,8.9,-4.9,-2.4,-4.9,-5.1,9.6,-3.2,-4.8,-5,-5,-5.3,-6.1,9.3,-4.2,-1.2,-8.1,9.4,-5.2,-0.7,-6.2,9.7,-4.8,-0.5
136,-2.3,-9.5,-2.3,-1.7,-2.1,-2.3,-9.5,-2.1,-2,-2.1,-2.2,-2.4,-3.4,-9.4,-2.9,-0.5,-5.4,-9.5,-3.9,-0.1,-3.5,-9.7,-3.5,-0.1
137,0,-6.7,0,0,0,0,-5.4,-0.6,0,0,0,0,0,-6,-1.5,0,0,-6.1,-2.5,0,0,-6.3,-2.1,0
138,2.4,-3.1,2.6,1.9,2.2,2.5,-2.6,0,2.1,2.2,2.2,2.5,2.9,-3.1,0,0.9,0.9,-3.2,0,0.3,3,-3.5,0,0.5
139,5.2,-1.4,5.1,2.7,5.5,5.8,-1.5,-0.5,5.4,5.5,5.6,5.8,5.8,-1.2,1.6,1.5,3.8,-1.3,0.6,1.2,5.9,-1.6,1,1.4
140,8.7,0,5.8,4.8,8.6,9.5,0,-2,8.5,8.6,8.7,8.9,8.5,0,3.3,4,6.5,0,2.3,3.9,8.5,0,2.7,4.1
141,-8.6,1.7,9.4,7.3,-8.2,-9,1.6,-3.1,-8,-8.4,-8.5,-8.8,-8.4,1.3,4.5,5.4,-8.2,1.4,3.5,5.5,-8.5,1.7,3.9,5.7
142,-5,3.5,11,8.9,-4.9,-5.1,2.7,-5,-4.8,-5,-5,-5.3,-6.1,3.3,7,8.5,-8.1,3.4,6,8.5,-6.2,3.7,6.4,8.7
143,-2.3,7.1,-10.1,10.4,-2.1,-2.3,5.5,-10,-2,-2.1,-2.2,-2.4,-3.4,6.4,9.7,9.9,-5.4,6.5,8.7,9.9,-3.5,6.8,9.1,10.1
144,0,8.9,-8.9,-10.9,0,0,9.6,-10.1,0,0,0,0,0,9.3,-9.9,-10.3,0,9.4,-10.9,-10,0,9.7,-10.4,-9.8
145,2.4,-9.5,-5.4,-9.4,2.2,2.5,-9.5,-6,2.1,2.2,2.2,2.5,2.9,-9.4,-6.8,-8.6,0.9,-9.5,-7.8,-8.3,3,-9.7,-7.8,-8.1
146,5.2,-6.7,-4.9,-7.2,5.5,5.8,-5.4,-3.2,5.4,5.5,5.6,5.8,5.8,-6,-4.2,-5.9,3.8,-6.1,-5.2,-5.6,5.9,-6.3,-4.8,-5.4
147,8.7,-3.1,-2.3,-5.1,8.6,9.5,-2.6,-2.1,8.5,8.6,8.7,8.9,8.5,-3.1,-2.9,-3.8,6.5,-3.2,-3.9,-3.5,8.5,-3.5,-3.5,-3.3
148,-8.6,-1.4,0,-2.4,-8.2,-9,-1.5,-0.6,-8,-8.4,-8.5,-8.8,-8.4,-1.2,-1.5,-1.2,-8.2,-1.3,-2.5,-0.7,-8.5,-1.6,-2.1,-0.5
149,-5,0,2.6,-1.7,-4.9,-5.1,0,0,-4.8,-5,-5,-5.3,-6.1,0,0,-0.5,-8.1,0,0,-0.1,-6.2,0,0,-0.1
150,-2.3,1.7,5.1,0,-2.1,-2.3,1.6,-0.5,-2,-2.1,-2.2,-2.4,-3.4,1.3,1.6,0,-5.4,1.4,0.6,0,-3.5,1.7,1,0
151,0,3.5,5.8,1.9,0,0,2.7,-2,0,0,0,0,0,3.3,3.3,0.9,0,3.4,2.3,0.3,0,3.7,2.7,0.5
152,2.4,7.1,9.4,2.7,2.2,2.5,5.5,-3.1,2.1,2.2,2.2,2.5,2.9,6.4,4.5,1.5,0.9,6.5,3.5,1.2,3,6.8,3.9,1.4
153,5.2,8.9,11,4.8,5.5,5.8,9.6,-5,5.4,5.5,5.6,5.8,5.8,9.3,7,4,3.8,9.4,6,3.9,5.9,9.7,6.4,4.1
154,8.7,-9.5,-10.1,7.3,8.6,9.5,-9.5,-10,8.5,8.6,8.7,8.9,8.5,-9.4,9.7,5.4,6.5,-9.5,8.7,5.5,8.5,-9.7,9.1,5.7
155,-8.6,-6.7,-8.9,8.9,-8.2,-9,-5.4,-10.1,-8,-8.4,-8.5,-8.8,-8.4,-6,-9.9,8.5,-8.2,-6.1,-10.9,8.5,-8.5,-6.3,-10.4,8.7
156,-5,-3.1,-5.4,10.4,-4.9,-5.1,-2.6,-6,-4.8,-5,-5,-5.3,-6.1,-3.1,-6.8,9.9,-8.1,-3.2,-7.8,9.9,-6.2,-3.5,-7.8,10.1
157,-2.3,-1.4,-4.9,-10.9,-2.1,-2.3,-1.5,-3.2,-2,-2.1,-2.2,-2.4,-3.4,-1.2,-4.2,-10.3,-5.4,-1.3,-5.2,-10,-3.5,-1.6,-4.8,-9.8
158,0,0,-2.3,-9.4,0,0,0,-2.1,0,0,0,0,0,0,-2.9,-8.6,0,0,-3.9,-8.3,0,0,-3.5,-8.1
159,2.4,1.7,0,-7.2,2.2,2.5,1.6,-0.6,2.1,2.2,2.2,2.5,2.9,1.3,-1.5,-5.9,0.9,1.4,-2.5,-5.6,3,1.7,-2.1,-5.4
160,5.2,3.5,2.6,-5.1,5.5,5.8,2.7,0,5.4,5.5,5.6,5.8,5.8,3.3,0,-3.8,3.8,3.4,0,-3.5,5.9,3.7,0,-3.3
161,8.7,7.1,5.1,-2.4,8.6,9.5,5.5,-0.5,8.5,8.6,8.7,8.9,8.5,6.4,1.6,-1.2,6.5,6.5,0.6,-0.7,8.5,6.8,1,-0.5
162,-8.6,8.9,5.8,-1.7,-8.2,-9,9.6,-2,-8,-8.4,-8.5,-8.8,-8.4,9.3,3.3,-0.5,-8.2,9.4,2.3,-0.1,-8.5,9.7,2.7,-0.1
163,-5,-9.5,9.4,0,-4.9,-5.1,-9.5,-3.1,-4.8,-5,-5,-5.3,-6.1,-9.4,4.5,0,-8.1,-9.5,3.5,0,-6.2,-9.7,3.9,0
164,-2.3,-6.7,11,1.9,-2.1,-2.3,-5.4,-5,-2,-2.1,-2.2,-2.4,-3.4,-6,7,0.9,-5.4,-6.1,6,0.3,-3.5,-6.3,6.4,0.5
165,0,-3.1,-10.1,2.7,0,0,-2.6,-10,0,0,0,0,0,-3.1,9.7,1.5,0,-3.2,8.7,1.2,0,-3.5,9.1,1.4
166,2.4,-1.4,-8.9,4.8,2.2,2.5,-1.5,-10.1,2.1,2.2,2.2,2.5,2.9,-1.2,-9.9,4,0.9,-1.3,-10.9,3.9,3,-1.6,-10.4,4.1
167,5.2,0,-5.4,7.3,5.5,5.8,0,-6,5.4,5.5,5.6,5.8,5.8,0,-6.8,5.4,3.8,0,-7.8,5.5,5.9,0,-7.8,5.7
168,8.7,1.7,-4.9,8.9,8.6,9.5,1.6,-3.2,8.5,8.6,8.7,8.9,8.5,1.3,-4.2,8.5,6.5,1.4,-5.2,8.5,8.5,1.7,-4.8,8.7
169,-8.6,3.5,-2.3,10.4,-8.2,-9,2.7,-2.1,-8,-8.4,-8.5,-8.8,-8.4,3.3,-2.9,9.9,-8.2,3.4,-3.9,9.9,-8.5,3.7,-3.5,10.1
170,-5,7.1,0,-10.9,-4.9,-5.1,5.5,-0.6,-4.8,-5,-5,-5.3,-6.1,6.4,-1.5,-10.3,-8.1,6.5,-2.5,-10,-6.2,6.8,-2.1,-9.8
171,-2.3,8.9,2.6,-9.4,-2.1,-2.3,9.6,0,-2,-2.1,-2.2,-2.4,-3.4,9.3,0,-8.6,-5.4,9.4,0,-8.3,-3.5,9.7,0,-8.1
172,0,-9.5,5.1,-7.2,0,0,-9.5,-0.5,0,0,0,0,0,-9.4,1.6,-5.9,0,-9.5,0.6,-5.6,0,-9.7,1,-5.4
173,2.4,-6.7,5.8,-5.1,2.2,2.5,-5.4,-2,2.1,2.2,2.2,2.5,2.9,-6,3.3,-3.8,0.9,-6.1,2.3,-3.5,3,-6.3,2.7,-3.3
174,5.2,-3.1,9.4,-2.4,5.5,5.8,-2.6,-3.1,5.4,5.5,5.6,5.8,5.8,-3.1,4.5,-1.2,3.8,-3.2,3.5,-0.7,5.9,-3.5,3.9,-0.5
175,8.7,-1.4,11,-1.7,8.6,9.5,-1.5,-5,8.5,8.6,8.7,8.9,8.5,-1.2,7,-0.5,6.5,-1.3,6,-0.1,8.5,-1.6,6.4,-0.1
176,-8.6,0,-10.1,0,-8.2,-9,0,-10,-8,-8.4,-8.5,-8.8,-8.4,0,9.7,0,-8.2,0,8.7,0,-8.5,0,9.1,0
177,-5,1.7,-8.9,1.9,-4.9,-5.1,1.6,-10.1,-4.8,-5,-5,-5.3,-6.1,1.3,-9.9,0.9,-8.1,1.4,-10.9,0.3,-6.2,1.7,-10.4,0.5
178,-2.3,3.5,-5.4,2.7,-2.1,-2.3,2.7,-6,-2,-2.1,-2.2,-2.4,-3.4,3.3,-6.8,1.5,-5.4,3.4,-7.8,1.2,-3.5,3.7,-7.8,1.4
179,0,7.1,-4.9,4.8,0,0,5.5,-3.2,0,0,0,0,0,6.4,-4.2,4,0,6.5,-5.2,3.9,0,6.8,-4.8,4.1
180,2.4,8.9,-2.3,7.3,2.2,2.5,9.6,-2.1,2.1,2.2,2.2,2.5,2.9,9.3,-2.9,5.4,0.9,9.4,-3.9,5.5,3,9.7,-3.5,5.7
181,5.2,-9.5,0,8.9,5.5,5.8,-9.5,-0.6,5.4,5.5,5.6,5.8,5.8,-9.4,-1.5,8.5,3.8,-9.5,-2.5,8.5,5.9,-9.7,-2.1,8.7
182,8.7,-6.7,2.6,10.4,8.6,9.5,-5.4,0,8.5,8.6,8.7,8.9,8.5,-6,0,9.9,6.5,-6.1,0,9.9,8.5,-6.3,0,10.1
183,-8.6,-3.1,5.1,-10.9,-8.2,-9,-2.6,-0.5,-8,-8.4,-8.5,-8.8,-8.4,-3.1,1.6,-10.3,-8.2,-3.2,0.6,-10,-8.5,-3.5,1,-9.8
184,-5,-1.4,5.8,-9.4,-4.9,-5.1,-1.5,-2,-4.8,-5,-5,-5.3,-6.1,-1.2,3.3,-8.6,-8.1,-1.3,2.3,-8.3,-6.2,-1.6,2.7,-8.1
185,-2.3,0,9.4,-7.2,-2.1,-2.3,0,-3.1,-2,-2.1,-2.2,-2.4,-3.4,0,4.5,-5.9,-5.4,0,3.5,-5.6,-3.5,0,3.9,-5.4
186,0,1.7,11,-5.1,0,0,1.6,-5,0,0,0,0,0,1.3,7,-3.8,0,1.4,6,-3.5,0,1.7,6.4,-3.3
187,2.4,3.5,-10.1,-2.4,2.2,2.5,2.7,-10,2.1,2.2,2.2,2.5,2.9,3.3,9.7,-1.2,0.9,3.4,8.7,-0.7,3,3.7,9.1,-0.5
188,5.2,7.1,-8.9,-1.7,5.5,5.8,5.5,-10.1,5.4,5.5,5.6,5.8,5.8,6.4,-9.9,-0.5,3.8,6.5,-10.9,-0.1,5.9,6.8,-10.4,-0.1
189,8.7,8.9,-5.4,0,8.6,9.5,9.6,-6,8.5,8.6,8.7,8.9,8.5,9.3,-6.8,0,6.5,9.4,-7.8,0,8.5,9.7,-7.8,0
190,-8.6,-9.5,-4.9,1.9,-8.2,-9,-9.5,-3.2,-8,-8.4,-8.5,-8.8,-8.4,-9.4,-4.2,0.9,-8.2,-9.5,-5.2,0.3,-8.5,-9.7,-4.8,0.5
191,-5,-6.7,-2.3,2.7,-4.9,-5.1,-5.4,-2.1,-4.8,-5,-5,-5.3,-6.1,-6,-2.9,1.5,-8.1,-6.1,-3.9,1.2,-6.2,-6.3,-3.5,1.4
192,-2.3,-3.1,0,4.8,-2.1,-2.3,-2.6,-0.6,-2,-2.1,-2.2,-2.4,-3.4,-3.1,-1.5,4,-5.4,-3.2,-2.5,3.9,-3.5,-3.5,-2.1,4.1
193,0,-1.4,2.6,7.3,0,0,-1.5,0,0,0,0,0,0,-1.2,0,5.4,0,-1.3,0,5.5,0,-1.6,0,5.7
194,2.4,0,5.1,8.9,2.2,2.5,0,-0.5,2.1,2.2,2.2,2.5,2.9,0,1.6,8.5,0.9,0,0.6,8.5,3,0,1,8.7
195,5.2,1.7,5.8,10.4,5.5,5.8,1.6,-2,5.4,5.5,5.6,5.8,5.8,1.3,3.3,9.9,3.8,1.4,2.3,9.9,5.9,1.7,2.7,10.1
196,8.7,3.5,9.4,-10.9,8.6,9.5,2.7,-3.1,8.5,8.6,8.7,8.9,8.5,3.3,4.5,-10.3,6.5,3.4,3.5,-10,8.5,3.7,3.9,-9.8
197,-8.6,7.1,11,-9.4,-8.2,-9,5.5,-5,-8,-8.4,-8.5,-8.8,-8.4,6.4,7,-8.6,-8.2,6.5,6,-8.3,-8.5,6.8,6.4,-8.1
198,-5,8.9,-10.1,-7.2,-4.9,-5.1,9.6,-10,-4.8,-5,-5,-5.3,-6.1,9.3,9.7,-5.9,-8.1,9.4,8.7,-5.6,-6.2,9.7,9.1,-5.4
199,-2.3,-9.5,-8.9,-5.1,-2.1,-2.3,-9.5,-10.1,-2,-2.1,-2.2,-2.4,-3.4,-9.4,-9.9,-3.8,-5.4,-9.5,-10.9,-3.5,-3.5,-9.7,-10.4,-3.3
200,0,-6.7,-5.4,-2.4,0,0,-5.4,-6,0,0,0,0,0,-6,-6.8,-1.2,0,-6.1,-7.8,-0.7,0,-6.3,-7.8,-0.5
201,2.4,-3.1,-4.9,-1.7,2.2,2.5,-2.6,-3.2,2.1,2.2,2.2,2.5,2.9,-3.1,-4.2,-0.5,0.9,-3.2,-5.2,-0.1,3,-3.5,-4.8,-0.1
202,5.2,-1.4,-2.3,0,5.5,5.8,-1.5,-2.1,5.4,5.5,5.6,5.8,5.8,-1.2,-2.9,0,3.8,-1.3,-3.9,0,5.9,-1.6,-3.5,0
203,8.7,0,0,1.9,8.6,9.5,0,-0.6,8.5,8.6,8.7,8.9,8.5,0,-1.5,0.9,6.5,0,-2.5,0.3,8.5,0,-2.1,0.5
204,-8.6,1.7,2.6,2.7,-8.2,-9,1.6,0,-8,-8.4,-8.5,-8.8,-8.4,1.3,0,1.5,-8.2,1.4,0,1.2,-8.5,1.7,0,1.4
205,-5,3.5,5.1,4.8,-4.9,-5.1,2.7,-0.5,-4.8,-5,-5,-5.3,-6.1,3.3,1.6,4,-8.1,3.4,0.6,3.9,-6.2,3.7,1,4.1
206,-2.3,7.1,5.8,7.3,-2.1,-2.3,5.5,-2,-2,-2.1,-2.2,-2.4,-3.4,6.4,3.3,5.4,-5.4,6.5,2.3,5.5,-3.5,6.8,2.7,5.7
207,0,8.9,9.4,8.9,0,0,9.6,-3.1,0,0,0,0,0,9.3,4.5,8.5,0,9.4,3.5,8.5,0,9.7,3.9,8.7
208,2.4,-9.5,11,10.4,2.2,2.5,-9.5,-5,2.1,2.2,2.2,2.5,2.9,-9.4,7,9.9,0.9,-9.5,6,9.9,3,-9.7,6.4,10.1
209,5.2,-6.7,-10.1,-10.9,5.5,5.8,-5.4,-10,5.4,5.5,5.6,5.8,5.8,-6,9.7,-10.3,3.8,-6.1,8.7,-10,5.9,-6.3,9.1,-9.8
210,8.7,-3.1,-8.9,-9.4,8.6,9.5,-2.6,-10.1,8.5,8.6,8.7,8.9,8.5,-3.1,-9.9,-8.6,6.5,-3.2,-10.9,-8.3,8.5,-3.5,-10.4,-8.1
211,-8.6,-1.4,-5.4,-7.2,-8.2,-9,-1.5,-6,-8,-8.4,-8.5,-8.8,-8.4,-1.2,-6.8,-5.9,-8.2,-1.3,-7.8,-5.6,-8.5,-1.6,-7.8,-5.4
212,-5,0,-4.9,-5.1,-4.9,-5.1,0,-3.2,-4.8,-5,-5,-5.3,-6.1,0,-4.2,-3.8,-8.1,0,-5.2,-3.5,-6.2,0,-4.8,-3.3
213,-2.3,1.7,-2.3,-2.4,-2.1,-2.3,1.6,-2.1,-2,-2.1,-2.2,-2.4,-3.4,1.3,-2.9,-1.2,-5.4,1.4,-3.9,-0.7,-3.5,1.7,-3.5,-0.5
214,0,3.5,0,-1.7,0,0,2.7,-0.6,0,0,0,0,0,3.3,-1.5,-0.5,0,3.4,-2.5,-0.1,0,3.7,-2.1,-0.1
215,2.4,7.1,2.6,0,2.2,2.5,5.5,0,2.1,2.2,2.2,2.5,2.9,6.4,0,0,0.9,6.5,0,0,3,6.8,0,0
216,5.2,8.9,5.1,1.9,5.5,5.8,9.6,-0.5,5.4,5.5,5.6,5.8,5.8,9.3,1.6,0.9,3.8,9.4,0.6,0.3,5.9,9.7,1,0.5
217,8.7,-9.5,5.8,2.7,8.6,9.5,-9.5,-2,8.5,8.6,8.7,8.9,8.5,-9.4,3.3,1.5,6.5,-9.5,2.3,1.2,8.5,-9.7,2.7,1.4
218,-8.6,-6.7,9.4,4.8,-8.2,-9,-5.4,-3.1,-8,-8.4,-8.5,-8.8,-8.4,-6,4.5,4,-8.2,-6.1,3.5,3.9,-8.5,-6.3,3.9,4.1
219,-5,-3.1,11,7.3,-4.9,-5.1,-2.6,-5,-4.8,-5,-5,-5.3,-6.1,-3.1,7,5.4,-8.1,-3.2,6,5.5,-6.2,-3.5,6.4,5.7
220,-2.3,-1.4,-8.9,8.9,-2.1,-2.3,-1.5,-10,-2,-2.1,-2.2,-2.4,-3.4,-1.2,9.7,8.5,-5.4,-1.3,8.7,8.5,-3.5,-1.6,9.1,8.7
221,0,0,-5.4,10.4,0,0,0,-10.1,0,0,0,0,0,0,-9.9,9.9,0,0,-10.9,9.9,0,0,-10.4,10.1
222,2.4,1.7,-4.9,-10.9,2.2,2.5,1.6,-6,2.1,2.2,2.2,2.5,2.9,1.3,-6.8,-10.3,0.9,1.4,-7.8,-10,3,1.7,-7.8,-9.8
223,5.2,3.5,-2.3,-9.4,5.5,5.8,2.7,-3.2,5.4,5.5,5.6,5.8,5.8,3.3,-4.2,-8.6,3.8,3.4,-5.2,-8.3,5.9,3.7,-4.8,-8.1
224,8.7,7.1,0,-7.2,8.6,9.5,5.5,-2.1,8.5,8.6,8.7,8.9,8.5,6.4,-2.9,-5.9,6.5,6.5,-3.9,-5.6,8.5,6.8,-3.5,-5.4
225,-8.6,8.9,2.6,-5.1,-8.2,-9,9.6,-0.6,-8,-8.4,-8.5,-8.8,-8.4,9.3,-1.5,-3.8,-8.2,9.4,-2.5,-3.5,-8.5,9.7,-2.1,-3.3
226,-5,-9.5,5.1,-2.4,-4.9,-5.1,-9.5,0,-4.8,-5,-5,-5.3,-6.1,-9.4,0,-1.2,-8.1,-9.5,0,-0.7,-6.2,-9.7,0,-0.5
227,-2.3,-6.7,5.8,-1.7,-2.1,-2.3,-5.4,-0.5,-2,-2.1,-2.2,-2.4,-3.4,-6,1.6,-0.5,-5.4,-6.1,0.6,-0.1,-3.5,-6.3,1,-0.1
228,0,-3.1,9.4,0,0,0,-2.6,-2,0,0,0,0,0,-3.1,3.3,0,0,-3.2,2.3,0,0,-3.5,2.7,0
229,2.4,-1.4,11,1.9,2.2,2.5,-1.5,-3.1,2.1,2.2,2.2,2.5,2.9,-1.2,4.5,0.9,0.9,-1.3,3.5,0.3,3,-1.6,3.9,0.5
230,5.2,0,-10.1,2.7,5.5,5.8,0,-5,5.4,5.5,5.6,5.8,5.8,0,7,1.5,3.8,0,6,1.2,5.9,0,6.4,1.4
231,8.7,1.7,-8.9,4.8,8.6,9.5,1.6,-10,8.5,8.6,8.7,8.9,8.5,1.3,9.7,4,6.5,1.4,8.7,3.9,8.5,1.7,9.1,4.1
232,-8.6,3.5,-5.4,7.3,-8.2,-9,2.7,-10.1,-8,-8.4,-8.5,-8.8,-8.4,3.3,-9.9,5.4,-8.2,3.4,-10.9,5.5,-8.5,3.7,-10.4,5.7
233,-5,7.1,-4.9,8.9,-4.9,-5.1,5.5,-6,-4.8,-5,-5,-5.3,-6.1,6.4,-6.8,8.5,-8.1,6.5,-7.8,8.5,-6.2,6.8,-7.8,8.7
234,-2.3,8.9,-2.3,10.4,-2.1,-2.3,9.6,-3.2,-2,-2.1,-2.2,-2.4,-3.4,9.3,-4.2,9.9,-5.4,9.4,-5.2,9.9,-3.5,9.7,-4.8,10.1
235,0,-9.5,0,-10.9,0,0,-9.5,-2.1,0,0,0,0,0,-9.4,-2.9,-10.3,0,-9.5,-3.9,-10,0,-9.7,-3.5,-9.8
236,2.4,-6.7,2.6,-9.4,2.2,2.5,-5.4,-0.6,2.1,2.2,2.2,2.5,2.9,-6,-1.5,-8.6,0.9,-6.1,-2.5,-8.3,3,-6.3,-2.1,-8.1
237,5.2,-3.1,5.1,-7.2,5.5,5.8,-2.6,0,5.4,5.5,5.6,5.8,5.8,-3.1,0,-5.9,3.8,-3.2,0,-5.6,5.9,-3.5,0,-5.4
238,8.7,-1.4,5.8,-5.1,8.6,9.5,-1.5,-0.5,8.5,8.6,8.7,8.9,8.5,-1.2,1.6,-3.8,6.5,-1.3,0.6,-3.5,8.5,-1.6,1,-3.3
239,-8.6,0,9.4,-2.4,-8.2,-9,0,-2,-8,-8.4,-8.5,-8.8,-8.4,0,3.3,-1.2,-8.2,0,2.3,-0.7,-8.5,0,2.7,-0.5
240,-5,1.7,11,-1.7,-4.9,-5.1,1.6,-3.1,-4.8,-5,-5,-5.3,-6.1,1.3,4.5,-0.5,-8.1,1.4,3.5,-0.1,-6.2,1.7,3.9,-0.1
241,-2.3,3.5,-10.1,0,-2.1,-2.3,2.7,-5,-2,-2.1,-2.2,-2.4,-3.4,3.3,7,0,-5.4,3.4,6,0,-3.5,3.7,6.4,0
242,0,7.1,-8.9,1.9,0,0,5.5,-10,0,0,0,0,0,6.4,9.7,0.9,0,6.5,8.7,0.3,0,6.8,9.1,0.5
243,2.4,8.9,-5.4,2.7,2.2,2.5,9.6,-10.1,2.1,2.2,2.2,2.5,2.9,9.3,-9.9,1.5,0.9,9.4,-10.9,1.2,3,9.7,-10.4,1.4
244,5.2,-9.5,-4.9,4.8,5.5,5.8,-9.5,-6,5.4,5.5,5.6,5.8,5.8,-9.4,-6.8,4,3.8,-9.5,-7.8,3.9,5.9,-9.7,-7.8,4.1
245,8.7,-6.7,-2.3,7.3,8.6,9.5,-5.4,-3.2,8.5,8.6,8.7,8.9,8.5,-6,-4.2,5.4,6.5,-6.1,-5.2,5.5,8.5,-6.3,-4.8,5.7
246,-8.6,-3.1,0,8.9,-8.2,-9,-2.6,-2.1,-8,-8.4,-8.5,-8.8,-8.4,-3.1,-2.9,8.5,-8.2,-3.2,-3.9,8.5,-8.5,-3.5,-3.5,8.7
247,-5,-1.4,2.6,10.4,-4.9,-5.1,-1.5,-0.6,-4.8,-5,-5,-5.3,-6.1,-1.2,-1.5,9.9,-8.1,-1.3,-2.5,9.9,-6.2,-1.6,-2.1,10.1
248,-2.3,0,5.1,-10.9,-2.1,-2.3,0,0,-2,-2.1,-2.2,-2.4,-3.4,0,0,-10.3,-5.4,0,0,-10,-3.5,0,0,-9.8
249,0,1.7,5.8,-9.4,0,0,1.6,-0.5,0,0,0,0,0,1.3,1.6,-8.6,0,1.4,0.6,-8.3,0,1.7,1,-8.1
250,2.4,3.5,9.4,-7.2,2.2,2.5,2.7,-2,2.1,2.2,2.2,2.5,2.9,3.3,3.3,-5.9,0.9,3.4,2.3,-5.6,3,3.7,2.7,-5.4
251,5.2,7.1,11,-5.1,5.5,5.8,5.5,-3.1,5.4,5.5,5.6,5.8,5.8,6.4,4.5,-3.8,3.8,6.5,3.5,-3.5,5.9,6.8,3.9,-3.3
252,8.7,8.9,-10.1,-2.4,8.6,9.5,9.6,-5,8.5,8.6,8.7,8.9,8.5,9.3,7,-1.2,6.5,9.4,6,-0.7,8.5,9.7,6.4,-0.5
253,-8.6,-9.5,-8.9,-1.7,-8.2,-9,-9.5,-10,-8,-8.4,-8.5,-8.8,-8.4,-9.4,9.7,-0.5,-8.2,-9.5,8.7,-0.1,-8.5,-9.7,9.1,-0.1
254,-5,-6.7,-5.4,0,-4.9,-5.1,-5.4,-10.1,-4.8,-5,-5,-5.3,-6.1,-6,-9.9,0,-8.1,-6.1,-10.9,0,-6.2,-6.3,-10.4,0
255,-2.3,-3.1,-4.9,1.9,-2.1,-2.3,-2.6,-6,-2,-2.1,-2.2,-2.4,-3.4,-3.1,-6.8,0.9,-5.4,-3.2,-7.8,0.3,-3.5,-3.5,-7.8,0.5
256,0,-1.4,-2.3,2.7,0,0,-1.5,-3.2,0,0,0,0,0,-1.2,-4.2,1.5,0,-1.3,-5.2,1.2,0,-1.6,-4.8,1.4
257,2.4,0,0,4.8,2.2,2.5,0,-2.1,2.1,2.2,2.2,2.5,2.9,0,-2.9,4,0.9,0,-3.9,3.9,3,0,-3.5,4.1
258,5.2,1.7,2.6,7.3,5.5,5.8,1.6,-0.6,5.4,5.5,5.6,5.8,5.8,1.3,-1.5,5.4,3.8,1.4,-2.5,5.5,5.9,1.7,-2.1,5.7
259,8.7,3.5,5.1,8.9,8.6,9.5,2.7,0,8.5,8.6,8.7,8.9,8.5,3.3,0,8.5,6.5,3.4,0,8.5,8.5,3.7,0,8.7
260,-8.6,7.1,5.8,10.4,-8.2,-9,5.5,-0.5,-8,-8.4,-8.5,-8.8,-8.4,6.4,1.6,9.9,-8.2,6.5,0.6,9.9,-8.5,6.8,1,10.1
261,-5,8.9,9.4,-10.9,-4.9,-5.1,9.6,-2,-4.8,-5,-5,-5.3,-6.1,9.3,3.3,-10.3,-8.1,9.4,2.3,-10,-6.2,9.7,2.7,-9.8
262,-2.3,-9.5,11,-9.4,-2.1,-2.3,-9.5,-3.1,-2,-2.1,-2.2,-2.4,-3.4,-9.4,4.5,-8.6,-5.4,-9.5,3.5,-8.3,-3.5,-9.7,3.9,-8.1
263,0,-6.7,-10.1,-7.2,0,0,-5.4,-5,0,0,0,0,0,-6,7,-5.9,0,-6.1,6,-5.6,0,-6.3,6.4,-5.4
264,2.4,-3.1,-8.9,-5.1,2.2,2.5,-2.6,-10,2.1,2.2,2.2,2.5,2.9,-3.1,9.7,-3.8,0.9,-3.2,8.7,-3.5,3,-3.5,9.1,-3.3
265,5.2,-1.4,-5.4,-2.4,5.5,5.8,-1.5,-10.1,5.4,5.5,5.6,5.8,5.8,-1.2,-9.9,-1.2,3.8,-1.3,-10.9,-0.7,5.9,-1.6,-10.4,-0.5
266,8.7,0,-4.9,-1.7,8.6,9.5,0,-6,8.5,8.6,8.7,8.9,8.5,0,-6.8,-0.5,6.5,0,-7.8,-0.1,8.5,0,-7.8,-0.1
267,-8.6,1.7,-2.3,0,-8.2,-9,1.6,-3.2,-8,-8.4,-8.5,-8.8,-8.4,1.3,-4.2,0,-8.2,1.4,-5.2,0,-8.5,1.7,-4.8,0
268,-5,3.5,0,1.9,-4.9,-5.1,2.7,-2.1,-4.8,-5,-5,-5.3,-6.1,3.3,-2.9,0.9,-8.1,3.4,-3.9,0.3,-6.2,3.7,-3.5,0.5
269,-2.3,7.1,2.6,2.7,-2.1,-2.3,5.5,-0.6,-2,-2.1,-2.2,-2.4,-3.4,6.4,-1.5,1.5,-5.4,6.5,-2.5,1.2,-3.5,6.8,-2.1,1.4
270,0,8.9,5.1,4.8,0,0,9.6,0,0,0,0,0,0,9.3,0,4,0,9.4,0,3.9,0,9.7,0,4.1
